Period,1st Week(%),4th Week(%),13th Week(%),26th Week(%),52nd Week(%)
May - 2013,0.11201,0.28933,0.49306,0.57626,0.70827
April - 2013,0.11469,0.23996,0.45067,0.57599,0.70800
March - 2013,0.11559,0.25565,0.47333,0.57533,0.70600
February - 2013,0.11589,0.25685,0.48756,0.57377,0.70356
January - 2013,0.11746,0.27065,0.49866,0.59307,0.71333
December - 2012,0.11790,0.27369,0.49401,0.57133,0.70167
November - 2012,0.11212,0.25437,0.44300,0.51234,0.62833
October - 2012,0.11212,0.23469,0.41386,0.49280,0.61013
September - 2012,0.11212,0.20935,0.38400,0.47567,0.59334
August - 2012,0.12189,0.20433,0.37465,0.45667,0.59167
July - 2012,0.11987,0.20266,0.36800,0.45200,0.59134
June - 2012,0.11775,0.20300,0.38125,0.46275,0.58575
May - 2012,0.12200,0.19750,0.37683,0.47217,0.58617
April - 2012,0.11750,0.20150,0.36575,0.46125,0.57450
March - 2012,0.11800,0.19625,0.35475,0.44650,0.55450
February - 2012,0.11700,0.18475,0.33975,0.43125,0.53100
January - 2012,0.11700,0.18250,0.32900,0.42300,0.52525
December - 2011,0.11700,0.19100,0.32000,0.41375,0.51725
November - 2011,0.11575,0.18850,0.30550,0.39850,0.50625
October - 2011,0.11200,0.17475,0.28375,0.37175,0.47875
September - 2011,0.11200,0.17100,0.26200,0.35450,0.46175
August - 2011,0.11300,0.17350,0.27275,0.37200,0.47850
July - 2011,0.12000,0.18180,0.29520,0.39360,0.50180
June - 2011,0.12238,0.18725,0.33413,0.43188,0.53213
May - 2011,0.12400,0.19675,0.37175,0.46050,0.56675
April - 2011,0.12800,0.20050,0.39000,0.48250,0.59500
March - 2011,0.12800,0.20175,0.39175,0.48425,0.59875
February - 2011,0.13300,0.18800,0.39550,0.48050,0.58750
January - 2011,0.13300,0.21500,0.39500,0.48500,0.58500
December - 2010,0.13800,0.22071,0.43400,0.50136,0.59150
November - 2010,0.13800,0.22000,0.43100,0.49700,0.58900
October - 2010,0.13800,0.19929,0.40857,0.48329,0.58600
September - 2010,0.13800,0.18750,0.36250,0.44000,0.54000
August - 2010,0.13800,0.18500,0.35300,0.43700,0.53780
July - 2010,0.13800,0.19000,0.35500,0.42900,0.52500
June - 2010,0.13060,0.18400,0.35050,0.42300,0.51000
May - 2010,0.13000,0.17150,0.33525,0.41225,0.50000
April - 2010,0.13300,0.17975,0.34725,0.42725,0.53200
March - 2010,0.13700,0.18420,0.36640,0.46980,0.60900
February - 2010,0.13400,0.18080,0.41260,0.53580,0.76740
January - 2010,0.13750,0.19050,0.43250,0.55275,0.73950
October - 2009,0.12300,0.45600,0.78900,0.32100,0.65400
August - 2009,4.82722,4.85531,4.90719,4.93875,4.99313
August - 2007,4.74836,4.76244,4.81315,4.82589,4.85483
December - 1994,4.82722,4.85531,4.90719,4.93875,4.99313
November - 1994,2.46076,4.18572,4.19459,4.23918,4.39043
October - 1994,0.00000,3.13402,3.55978,3.58414,3.90336
September - 1994,0.00000,3.00351,3.13496,3.20556,3.74450
August - 1994,0.00000,3.00351,3.13496,3.20556,3.74450
July - 1994,0.00000,3.08821,3.14085,3.24855,3.41761
June - 1994,0.00000,3.30437,3.36437,3.49121,3.67844
May - 1994,0.00000,3.62943,3.75965,3.92825,4.23839
April - 1994,0.00000,3.92730,3.96058,4.07441,4.47432
March - 1994,0.00000,4.04309,4.04332,4.16560,4.62638
February - 1994,0.00000,4.01299,4.07633,4.25843,1.55624
January - 1994,0.00000,3.90255,3.98026,4.06500,4.52087
